;;;Interaction parameters;;;;;
Shot;General comments;Laser_Energy;Z - height (mm);X (mm);Y- Focus (mm);Beam_quality;Beam_Pointing;Charge(pC)
195;;;;;;;;
196;;;;;;;;
197;mask positioned 8,5 cm away from the CCDX and realigned little bit;;-8,2;1,3;0,95;;;
198;;;-8,2;1,3;0,95;;;
199;;;-8,2;1,3;0,95;;;
200;;;-8,2;1,3;0,95;;;
201;;;-8,2;1,3;0,95;;;
202;;;-8,2;1,3;0,95;;;
203;;;-8,2;1,3;0,95;;;
204;;;-8,2;1,3;0,95;;;
205;;;-8,2;1,3;0,95;;;
206;;;-8,2;1,3;0,95;;;
207;;;-8,2;1,3;0,95;;;
208;;;-8,2;1,3;0,95;;;
209;;;-8,2;1,3;0,95;;;
210;;;-8,2;1,3;0,95;;;
211;;;-8,2;1,3;0,95;;;
212;;;-8,2;1,3;0,95;;;
213;;;-8,2;1,3;0,95;;;
214;;;-8,2;1,3;0,95;;;
215;;;-8,2;1,3;0,95;;;
216;;;-8,2;1,3;0,95;;;
217;;;-8,2;1,3;0,95;;;
218;;;-8,2;1,3;0,95;;;
219;;;-8,2;1,3;0,95;;;
220;;;-8,2;1,3;0,95;;;
221;;;-8,2;1,3;0,95;;;
222;Putting external magnet to use it as a collimator ;;-8,2;1,3;0,95;;;
223;;;-8,2;1,3;0,95;;;
224;;;-8,2;1,3;0,95;;;
225;;;-8,2;1,3;0,95;;;
226;;;-8,2;1,3;0,95;;;
227;;;-8,2;1,3;0,95;;;
228;;;-8,2;1,3;0,95;;;
229;;;-8,2;1,3;0,95;;;
230;;;-8,2;1,3;0,95;;;
231;;;-8,2;1,3;0,95;;;
232;;;-8,2;1,3;0,95;;;
233;;;-8,2;1,3;0,95;;;
234;;;-8,2;1,3;0,95;;;
235;;;-8,2;1,3;0,95;;;
236;;;-8,2;1,3;0,95;;;
237;;;-8,2;1,3;0,95;;;
238;;;-8,2;1,3;0,95;;;
239;;;-8,2;1,3;0,95;;;
240;;;-8,2;1,3;0,95;;;
241;;;-8,2;1,3;0,95;;;
