;;;Interaction parameters;;;;;;
Shot;General comments;Energy before compression (J) - calib k = 0,016231;Z - height (mm);X (mm);Y- Focus (mm);Beam_quality;Beam_Pointing;Charge(pC);
235;no_electrons;7,05166;-8,6;1,3;2,05;N;;45;
236;;6,9755;-8,6;1,3;2,05;C;G3;100;
237;no_electrons;7,08452;-8,6;1,3;2,15;N;;40;
238;no_electrons;7,11542;-8,6;1,3;2,15;N;;40;
239;;7,03551;-8,6;1,3;1,95;C;F4;100;
240;;7,10831;-8,6;1,3;1,95;CM;G3;110;
241;;6,69325;-8,6;1,3;1,95;C;G4;180;
242;;6,88055;-8,6;1,3;1,95;D;;60;
243;;7,11423;-8,6;1,3;1,95;C;G4;160;
244;no_electrons;7,09862;-8,6;1,3;1,95;N;;70;
245;;7,29751;-8,6;1,3;1,95;C;G3;140;
246;;7,10454;-8,6;1,3;1,95;C;G3;100;
247;;6,96227;-8,6;1,3;1,95;C;F4;155;
248;no_electrons;6,79433;-8,6;1,3;1,95;N;;50;
249;;6,95197;-8,6;1,3;1,95;C;G3;80;
250;no_electrons;6,81992;-8,6;1,3;1,95;N;;10;
251;;6,99955;-8,6;1,3;1,95;C;G3;50;
252;;7,03673;-8,6;1,3;1,95;CB;;50;
253;;7,00887;-8,6;1,3;1,95;C;G4;50;
254;;7,02535;-8,6;1,3;1,95;C;G3;80;
255;Pointing_OUT;6,62589;-8,6;1,3;1,95;;pointing lanex out;200;
256;;6,7416;-8,6;1,3;1,95;;pointing lanex out;190;
257;;6,90316;-8,6;1,3;1,95;;pointing lanex out;240;
258;;6,95436;-8,6;1,3;1,95;;pointing lanex out;260;
259;;7,06325;-8,6;1,3;1,95;;pointing lanex out;240;
260;;6,82448;-8,6;1,3;1,95;;;80;
261;;7,03816;-8,6;1,3;1,95;;;170;
262;;6,94039;-8,6;1,3;1,95;;;210;
263;;6,85784;-8,6;1,3;1,95;;;160;
264;;6,91751;-8,6;1,3;1,95;;;220;
265;;6,91121;-8,6;1,3;1,95;;;170;
266;;6,90272;-8,6;1,3;1,95;;;170;
267;;6,79053;-8,6;1,3;1,95;;;240;
268;;6,98829;-8,6;1,3;1,95;;;180;
269;;6,96903;-8,6;1,3;1,95;;;140;
270;;7,029075;-8,6;1,3;1,95;;;170;
271;;6,86624;-8,6;1,3;1,95;;;200;
272;;7,05667;-8,6;1,3;1,95;;;190;
273;;6,7623;-8,6;1,3;1,95;;;160;
274;;6,76312;-8,6;1,3;1,95;;;150;
275;;6,88978;-8,6;1,3;1,95;;;230;
276;;6,80804;-8,6;1,3;1,95;;;280;
277;;6,93773;-8,6;1,3;1,95;;;200;
278;;6,86325;-8,6;1,3;1,95;;;200;
279;;6,90272;-8,6;1,3;1,95;;;140;
280;;6,99599;-8,6;1,3;1,95;;;190;
281;;6,7393;-8,6;1,3;1,95;;;200;
282;;6,8799;-8,6;1,3;1,95;;;180;
283;;6,73516;-8,6;1,3;1,95;;;220;
284;;6,9005;-8,6;1,3;1,95;;;200;
285;;6,99205;-8,6;1,3;1,95;;;100;
286;;6,88431;-8,6;1,3;1,95;;;300;
287;;6,65663;-8,6;1,3;1,95;;;165;
288;;6,81007;-8,6;1,3;1,95;;;250;
289;;;-8,6;1,3;1,95;;;180;
290;;6,60481;-8,6;1,3;1,95;;;170;
291;;;-8,6;1,3;1,95;;;160;
292;;6,9155;-8,6;1,3;1,95;;;240;
293;;6,82769;-8,6;1,3;1,95;;;180;
294;;6,79467;-8,6;1,3;1,95;;;170;
295;;6,7714;-8,6;1,3;1,95;;;190;
296;;6,95657;-8,6;1,3;1,95;;;200;
297;;6,90201;-8,6;1,3;1,95;;;260;
298;;6,95042;-8,6;1,3;1,95;;;200;
299;;6,97329;-8,6;1,3;1,95;;;260;
300;;6,79732;-8,6;1,3;1,95;;;180;
301;no_electrons;6,75265;-8,6;1,3;1,95;;;0;
302;mask_square;7,03434;-8,6;1,3;1,95;;;180;
